respondent_id,xyz_vaccine,seasonal_vaccine
26707,0.07216284506554507,0.20027336767778425
26708,0.04797758442092967,0.052259385192760785
26709,0.4423889542839384,0.6868944628222172
26710,0.48434001472174093,0.8797278099224499
26711,0.22017092781866002,0.4743857457973947
26712,0.40881469129419035,0.9108868364164213
26713,0.3494799196095137,0.5059739912295196
26714,0.15586885281309942,0.3091914414382999
26715,0.036991946346900645,0.17079221029582453
26716,0.19105710124704342,0.8562314943931453
26717,0.02220292007651491,0.38605211061078226
26718,0.19229553556930323,0.3836486661583093
26719,0.10471294346752572,0.9291074259600826
26720,0.07259586268897697,0.13328177330229085
26721,0.4812203125848162,0.5380641847414296
26722,0.05074502673659476,0.0835235230446691
26723,0.6616348731576738,0.8410392685406001
26724,0.11948371657172864,0.6086615741967223
26725,0.04821231272719896,0.09482337770350255
26726,0.017365854774401838,0.03874268317634797
26727,0.31725028183640624,0.7831072063440732
26728,0.2341702539142835,0.5469543795531534
26729,0.07936818713794747,0.29153648387786746
26730,0.04901633127172103,0.21801775369499948
26731,0.017083518775489828,0.287578735906178
26732,0.11683061441470138,0.10319351814432197
26733,0.9157182587467381,0.9609942440092096
26734,0.8594027516699262,0.3806411673666088
26735,0.14240686747863193,0.46756314451881564
26736,0.061940156476237254,0.136585003201305
26737,0.08400230277822845,0.14426685513394044
26738,0.6507863254961533,0.8789519105355547
26739,0.1085821123604487,0.21523999866636262
26740,0.15117087397880546,0.12775274565048358
26741,0.20386752115671417,0.923805000174178
26742,0.15291920899941766,0.5285469775157928
26743,0.03833460536913753,0.4497593150415774
26744,0.06183795778728797,0.5979215100379631
26745,0.09243497188213944,0.9156543368475066
26746,0.10731294083040302,0.32646199702692175
26747,0.08935556752800881,0.3224894565898552
26748,0.09480475095000826,0.06333839274052319
26749,0.0787917518161169,0.6975430428267304
26750,0.6612201505242034,0.9029845802388602
26751,0.31048649273338913,0.7016424918452894
26752,0.01934074069616312,0.018130268518217592
26753,0.20557618487446208,0.6395176292334769
26754,0.08993263744218151,0.49117641943984697
26755,0.08987942404013835,0.2976564107528436
26756,0.014285289277853608,0.03138253312712515
26757,0.46636034965684775,0.49752860736515786
26758,0.6408723730408705,0.8934460971233429
26759,0.04092871629010098,0.21877788188944283
26760,0.009966469180828386,0.022976150406667145
26761,0.13269227327783661,0.5431995874778142
26762,0.16152704376757918,0.8309957427281409
26763,0.8991362825111907,0.9835465015264512
26764,0.9307192828285925,0.9644824598357373
26765,0.03237682278284491,0.723767143638135
26766,0.14167159815489666,0.13480490026084296
26767,0.7598041335394612,0.7131962326858501
26768,0.012795142418971391,0.3867620588743658
26769,0.13894869030318097,0.14995349614524447
26770,0.13323067327037857,0.6966743690267664
26771,0.06440031576771581,0.16849284535397765
26772,0.08147186631154836,0.3905964382094141
26773,0.010762009450111451,0.3827359672312691
26774,0.027581874326882624,0.5077410412562448
26775,0.1265097400298431,0.5562109422718434
26776,0.32788545005199393,0.27886206266157915
26777,0.12762912173234534,0.919636833855769
26778,0.14749487947116843,0.18180201790801562
26779,0.11009645504978446,0.46682847974011676
26780,0.17187031029753247,0.9544428232034953
26781,0.04220827031511086,0.411314256777512
26782,0.047070470746894195,0.32149257227921235
26783,0.07620706632272704,0.4232310452722386
26784,0.3229959469678742,0.8657327345509848
26785,0.3591901353935465,0.5573240033911232
26786,0.13019222363631874,0.2701303475003598
26787,0.11183316456313813,0.4779357788221239
26788,0.12171605682826817,0.9319641368304112
26789,0.014793812939187686,0.29790066434926715
26790,0.0668149804874769,0.3253458679593942
26791,0.057306784410628905,0.10880329945500791
26792,0.20545700069208905,0.7736482281947408
26793,0.10981869078259647,0.8860492178283406
26794,0.7932697202133737,0.9089979457340559
26795,0.03978500182615567,0.9294261321933535
26796,0.058236497837204936,0.0788449371231254
26797,0.08835452839013404,0.6126047463075216
26798,0.16632826255588085,0.16476907012774833
26799,0.2349920649395349,0.1901717252580674
26800,0.03577396277841225,0.9168139922412905
26801,0.24625358791295116,0.33397497903021867
26802,0.11566554369982922,0.23488395274782797
26803,0.05213382668251092,0.15026667575949576
26804,0.0675337145320133,0.14630133231303785
26805,0.08728046766059305,0.2668699465389805
26806,0.06290757517819057,0.8736062253668785
26807,0.6623549480575389,0.9479624601238614
26808,0.2677681129347334,0.5943795920653571
26809,0.7465688710623277,0.20089886910841057
26810,0.034506049371302076,0.11987295270005743
26811,0.05370636973057858,0.054641635753878356
26812,0.13777561910242933,0.726490614246646
26813,0.30710473188364334,0.2874069022754329
26814,0.03330836890056304,0.4283895753156951
26815,0.06954828846641317,0.17380588889486073
26816,0.03690013112588388,0.15544267742894127
26817,0.14605206565188578,0.6846004986242048
26818,0.05859391614502528,0.18372697836852256
26819,0.37008032208065167,0.4263122864600568
26820,0.09850812457104932,0.2960223091848406
26821,0.11705510906932903,0.4708449698357053
26822,0.21548445968936425,0.6150380615500475
26823,0.4592726227444974,0.5272172299577582
26824,0.0408046987691252,0.6859263323055373
26825,0.39987236717364427,0.7545367196580458
26826,0.07996842531429038,0.6890064376754732
26827,0.06384289928746407,0.16742580929565445
26828,0.1729453346260173,0.6550638667106842
26829,0.5855614233479406,0.9084245974211941
26830,0.07060216493792118,0.6556164856069667
